Country,EdLevel,YearsExperience,DevType,AnualSalary
Sweden,Master’s degree,4.0,Data scientist or machine learning specialist,51552.0
Sweden,Master’s degree,9.0,Data scientist or machine learning specialist,57684.0
Sweden,Master’s degree,4.0,Data scientist or machine learning specialist,38292.0
Sweden,Postgraduate,10.0,Data scientist or machine learning specialist,78552.0
Sweden,Master’s degree,2.0,Data scientist or machine learning specialist,35412.0
Sweden,Master’s degree,0.5,Data scientist or machine learning specialist,41112.0
Sweden,Master’s degree,3.0,Data scientist or machine learning specialist,49992.0
Sweden,Postgraduate,7.0,Data scientist or machine learning specialist,50316.0
Sweden,Master’s degree,5.0,Data scientist or machine learning specialist,73020.0
Sweden,Master’s degree,4.0,Data scientist or machine learning specialist,36816.0
Sweden,Master’s degree,14.0,Data scientist or machine learning specialist,61368.0
Sweden,Master’s degree,3.0,Data scientist or machine learning specialist,56763.0
Sweden,Master’s degree,14.0,Data scientist or machine learning specialist,79776.0
Sweden,Master’s degree,13.0,Data scientist or machine learning specialist,76092.0
Sweden,Postgraduate,3.0,Data scientist or machine learning specialist,69957.0
Sweden,Postgraduate,7.0,Data scientist or machine learning specialist,60144.0
Sweden,Postgraduate,5.0,Data scientist or machine learning specialist,79776.0
Sweden,Master’s degree,16.0,Data scientist or machine learning specialist,70572.0
Sweden,Postgraduate,18.0,Data scientist or machine learning specialist,42960.0
Sweden,Master’s degree,29.0,Data scientist or machine learning specialist,74868.0
Sweden,Master’s degree,4.0,Data scientist or machine learning specialist,57684.0
Sweden,Master’s degree,4.0,Data scientist or machine learning specialist,46632.0
Sweden,Postgraduate,12.0,Data scientist or machine learning specialist,63204.0
Spain,Postgraduate,20.0,Data scientist or machine learning specialist,64859.0
Spain,Postgraduate,7.0,Data scientist or machine learning specialist,28105.0
Spain,Master’s degree,9.0,Data scientist or machine learning specialist,57292.0
Spain,Master’s degree,4.0,Data scientist or machine learning specialist,26030.0
Spain,Master’s degree,3.0,Data scientist or machine learning specialist,26484.0
Spain,Master’s degree,1.0,Data scientist or machine learning specialist,44320.0
Spain,Master’s degree,2.0,Data scientist or machine learning specialist,19452.0
Spain,Master’s degree,2.0,Data scientist or machine learning specialist,32429.0
Spain,Master’s degree,7.0,Data scientist or machine learning specialist,48644.0
Spain,Master’s degree,5.0,Data scientist or machine learning specialist,25944.0
Spain,Postgraduate,11.0,Data scientist or machine learning specialist,37834.0
